,title,cast,listed_in,cast_count,rating,release_year
0,Guatemala: Heart of the Mayan World,Christian Morales,"Documentaries, International Movies",1.0,TV-G,2019
1,The Zoya Factor,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha","Comedies, Dramas, International Movies",8.0,TV-14,2019
2,Atlantics,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","Dramas, Independent Movies, International Movies",9.0,TV-14,2019
3,Crazy people,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke","Comedies, International Movies, Thrillers",9.0,TV-14,2018
4,I Lost My Body,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt","Dramas, Independent Movies, International Movies",6.0,TV-MA,2019
5,Kalushi: The Story of Solomon Mahlangu,"Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi","Dramas, International Movies",6.0,TV-MA,2016
6,Lagos Real Fake Life,"Nonso Diobi, Mike Ezuruonye, Mercy Aigbe, Rex Nosa, Annie Macaulay Idibia, Ik Ogbonna, Nedu Wazobia, Uzee Usman, Odunlade Adekola, Mr Jollof, Efe Irele, Josh 2 Funny, Haillie Sumney, Emmanuella, MC Lively","Comedies, International Movies",15.0,TV-14,2018
7,Payday,"Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan","Comedies, Independent Movies, International Movies",7.0,TV-MA,2018
8,The Accidental Spy,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin","Action & Adventure, Comedies, International Movies",7.0,TV-14,2017
9,The Island,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo","Dramas, International Movies, Thrillers",4.0,TV-14,2018
